participant_id,statement_id,label_visible,actual_source,known_truth,predicted_truthfulness,correct,confidence,trustworthiness,perceived_source,presurvey_ai_familiarity,presurvey_ai_trust,presurvey_skepticism,presurvey_fact_checking,presurvey_baseline_confidence,age,gender,nationality,education,persona_ai_familiarity,persona_ai_trust,persona_ai_literacy,persona_general_confidence,persona_reasoning_style,persona_online_content_skepticism,knowledge_geography_history,knowledge_science_health,knowledge_entertainment_literature,knowledge_technology_internet,topic_familiarity,source_file
254,TS47,1,ai,True,true,1.0,5.0,4.0,,6,3,5,4,2,18,nonbinary,Dutch,graduate_student,6,3,3,7,mixed,high,4,3,5,4,4,truth_source_labeled_persona_254.json
254,TS56,1,ai,True,true,1.0,6.0,5.0,,6,3,5,4,2,18,nonbinary,Dutch,graduate_student,6,3,3,7,mixed,high,4,3,5,4,4,truth_source_labeled_persona_254.json
254,TS2,1,human,True,true,1.0,6.0,6.0,,6,3,5,4,2,18,nonbinary,Dutch,graduate_student,6,3,3,7,mixed,high,4,3,5,4,4,truth_source_labeled_persona_254.json
255,TS2,1,human,True,true,1.0,4.0,5.0,,2,4,3,5,6,25,woman,Dutch,bachelors_degree,2,4,4,4,intuitive,low,7,2,3,2,1,truth_source_labeled_persona_255.json
255,TS47,1,ai,True,true,1.0,6.0,3.0,,2,4,3,5,6,25,woman,Dutch,bachelors_degree,2,4,4,4,intuitive,low,7,2,3,2,1,truth_source_labeled_persona_255.json
255,TS69,1,ai,False,false,1.0,6.0,2.0,,2,4,3,5,6,25,woman,Dutch,bachelors_degree,2,4,4,4,intuitive,low,7,2,3,2,1,truth_source_labeled_persona_255.json
255,TS1,1,human,True,true,1.0,4.0,5.0,,2,4,3,5,6,25,woman,Dutch,bachelors_degree,2,4,4,4,intuitive,low,7,2,3,2,1,truth_source_labeled_persona_255.json
255,TS76,1,ai,False,false,1.0,6.0,2.0,,2,4,3,5,6,25,woman,Dutch,bachelors_degree,2,4,4,4,intuitive,low,7,2,3,2,1,truth_source_labeled_persona_255.json
256,TS45,1,ai,True,true,1.0,5.0,4.0,,6,3,5,4,3,23,man,British,graduate_student,6,3,3,3,analytical,low,4,3,5,7,4,truth_source_labeled_persona_256.json
256,TS56,1,ai,True,true,1.0,5.0,4.0,,6,3,5,4,3,23,man,British,graduate_student,6,3,3,3,analytical,low,4,3,5,7,4,truth_source_labeled_persona_256.json
256,TS2,1,human,True,true,1.0,4.0,5.0,,6,3,5,4,3,23,man,British,graduate_student,6,3,3,3,analytical,low,4,3,5,7,4,truth_source_labeled_persona_256.json
256,TS72,1,ai,False,false,1.0,4.0,3.0,,6,3,5,4,3,23,man,British,graduate_student,6,3,3,3,analytical,low,4,3,5,7,4,truth_source_labeled_persona_256.json
256,TS69,1,ai,False,false,1.0,2.0,2.0,,6,3,5,4,3,23,man,British,graduate_student,6,3,3,3,analytical,low,4,3,5,7,4,truth_source_labeled_persona_256.json
257,TS1,1,human,True,false,0.0,6.0,2.0,,3,2,4,5,3,25,man,Canadian,high_school_or_equivalent,3,1,3,5,analytical,low,6,4,4,6,5,truth_source_labeled_persona_257.json
257,TS56,1,ai,True,true,1.0,6.0,3.0,,3,2,4,5,3,25,man,Canadian,high_school_or_equivalent,3,1,3,5,analytical,low,6,4,4,6,5,truth_source_labeled_persona_257.json
257,TS18,1,human,True,true,1.0,4.0,5.0,,3,2,4,5,3,25,man,Canadian,high_school_or_equivalent,3,1,3,5,analytical,low,6,4,4,6,5,truth_source_labeled_persona_257.json
257,TS2,1,human,True,true,1.0,6.0,6.0,,3,2,4,5,3,25,man,Canadian,high_school_or_equivalent,3,1,3,5,analytical,low,6,4,4,6,5,truth_source_labeled_persona_257.json
257,TS47,1,ai,True,true,1.0,6.0,3.0,,3,2,4,5,3,25,man,Canadian,high_school_or_equivalent,3,1,3,5,analytical,low,6,4,4,6,5,truth_source_labeled_persona_257.json
258,TS69,1,ai,False,false,1.0,6.0,2.0,,5,3,5,4,6,25,prefer_not_to_say,Australian,high_school_or_equivalent,7,3,3,4,mixed,low,4,7,3,7,4,truth_source_labeled_persona_258.json
258,TS2,1,human,True,true,1.0,5.0,6.0,,5,3,5,4,6,25,prefer_not_to_say,Australian,high_school_or_equivalent,7,3,3,4,mixed,low,4,7,3,7,4,truth_source_labeled_persona_258.json
258,TS1,1,human,True,false,0.0,6.0,5.0,,5,3,5,4,6,25,prefer_not_to_say,Australian,high_school_or_equivalent,7,3,3,4,mixed,low,4,7,3,7,4,truth_source_labeled_persona_258.json
258,TS56,1,ai,True,true,1.0,6.0,2.0,,5,3,5,4,6,25,prefer_not_to_say,Australian,high_school_or_equivalent,7,3,3,4,mixed,low,4,7,3,7,4,truth_source_labeled_persona_258.json
258,TS47,1,ai,True,true,1.0,7.0,6.0,,5,3,5,4,6,25,prefer_not_to_say,Australian,high_school_or_equivalent,7,3,3,4,mixed,low,4,7,3,7,4,truth_source_labeled_persona_258.json
259,TS78,1,ai,False,false,1.0,4.0,2.0,,3,5,4,6,5,20,man,US,bachelors_degree,3,5,3,4,mixed,low,1,1,5,4,4,truth_source_labeled_persona_259.json
259,TS47,1,ai,True,true,1.0,6.0,4.0,,3,5,4,6,5,20,man,US,bachelors_degree,3,5,3,4,mixed,low,1,1,5,4,4,truth_source_labeled_persona_259.json
259,TS69,1,ai,False,false,1.0,6.0,2.0,,3,5,4,6,5,20,man,US,bachelors_degree,3,5,3,4,mixed,low,1,1,5,4,4,truth_source_labeled_persona_259.json
259,TS17,1,human,True,true,1.0,6.0,7.0,,3,5,4,6,5,20,man,US,bachelors_degree,3,5,3,4,mixed,low,1,1,5,4,4,truth_source_labeled_persona_259.json
259,TS1,1,human,True,false,0.0,3.0,5.0,,3,5,4,6,5,20,man,US,bachelors_degree,3,5,3,4,mixed,low,1,1,5,4,4,truth_source_labeled_persona_259.json
260,TS56,1,ai,True,true,1.0,5.0,3.0,,5,4,6,3,5,23,nonbinary,Australian,bachelors_degree,5,4,2,4,mixed,moderate,3,4,2,4,1,truth_source_labeled_persona_260.json
260,TS69,1,ai,False,false,1.0,5.0,2.0,,5,4,6,3,5,23,nonbinary,Australian,bachelors_degree,5,4,2,4,mixed,moderate,3,4,2,4,1,truth_source_labeled_persona_260.json
260,TS70,1,ai,False,false,1.0,6.0,2.0,,5,4,6,3,5,23,nonbinary,Australian,bachelors_degree,5,4,2,4,mixed,moderate,3,4,2,4,1,truth_source_labeled_persona_260.json
260,TS17,1,human,True,true,1.0,6.0,5.0,,5,4,6,3,5,23,nonbinary,Australian,bachelors_degree,5,4,2,4,mixed,moderate,3,4,2,4,1,truth_source_labeled_persona_260.json
260,TS1,1,human,True,true,1.0,6.0,5.0,,5,4,6,3,5,23,nonbinary,Australian,bachelors_degree,5,4,2,4,mixed,moderate,3,4,2,4,1,truth_source_labeled_persona_260.json
261,TS47,1,ai,True,true,1.0,5.0,2.0,,2,6,4,3,5,22,man,Canadian,vocational_training,2,6,2,3,intuitive,high,6,2,5,5,2,truth_source_labeled_persona_261.json
261,TS25,1,human,False,false,1.0,3.0,6.0,,2,6,4,3,5,22,man,Canadian,vocational_training,2,6,2,3,intuitive,high,6,2,5,5,2,truth_source_labeled_persona_261.json
261,TS69,1,ai,False,false,1.0,4.0,2.0,,2,6,4,3,5,22,man,Canadian,vocational_training,2,6,2,3,intuitive,high,6,2,5,5,2,truth_source_labeled_persona_261.json
261,TS2,1,human,True,true,1.0,6.0,5.0,,2,6,4,3,5,22,man,Canadian,vocational_training,2,6,2,3,intuitive,high,6,2,5,5,2,truth_source_labeled_persona_261.json
261,TS1,1,human,True,true,1.0,4.0,5.0,,2,6,4,3,5,22,man,Canadian,vocational_training,2,6,2,3,intuitive,high,6,2,5,5,2,truth_source_labeled_persona_261.json
262,TS30,1,human,False,false,1.0,5.0,2.0,,2,3,6,5,4,19,woman,Canadian,vocational_training,2,3,5,5,mixed,moderate,2,4,4,4,4,truth_source_labeled_persona_262.json
262,TS2,1,human,True,true,1.0,4.0,6.0,,2,3,6,5,4,19,woman,Canadian,vocational_training,2,3,5,5,mixed,moderate,2,4,4,4,4,truth_source_labeled_persona_262.json
262,TS72,1,ai,False,false,1.0,5.0,2.0,,2,3,6,5,4,19,woman,Canadian,vocational_training,2,3,5,5,mixed,moderate,2,4,4,4,4,truth_source_labeled_persona_262.json
262,TS56,1,ai,True,true,1.0,6.0,5.0,,2,3,6,5,4,19,woman,Canadian,vocational_training,2,3,5,5,mixed,moderate,2,4,4,4,4,truth_source_labeled_persona_262.json
262,TS18,1,human,True,true,1.0,4.0,6.0,,2,3,6,5,4,19,woman,Canadian,vocational_training,2,3,5,5,mixed,moderate,2,4,4,4,4,truth_source_labeled_persona_262.json
263,TS45,1,ai,True,true,1.0,6.0,4.0,,5,3,4,6,5,19,woman,US,graduate_student,5,3,4,6,mixed,moderate,4,1,7,5,4,truth_source_labeled_persona_263.json
263,TS47,1,ai,True,true,1.0,6.0,4.0,,5,3,4,6,5,19,woman,US,graduate_student,5,3,4,6,mixed,moderate,4,1,7,5,4,truth_source_labeled_persona_263.json
263,TS56,1,ai,True,true,1.0,6.0,5.0,,5,3,4,6,5,19,woman,US,graduate_student,5,3,4,6,mixed,moderate,4,1,7,5,4,truth_source_labeled_persona_263.json
263,TS2,1,human,True,true,1.0,5.0,6.0,,5,3,4,6,5,19,woman,US,graduate_student,5,3,4,6,mixed,moderate,4,1,7,5,4,truth_source_labeled_persona_263.json
263,TS69,1,ai,False,false,1.0,6.0,3.0,,5,3,4,6,5,19,woman,US,graduate_student,5,3,4,6,mixed,moderate,4,1,7,5,4,truth_source_labeled_persona_263.json
264,TS69,1,ai,False,false,1.0,6.0,2.0,,5,4,6,5,3,21,nonbinary,German,undergraduate,1,7,4,2,intuitive,moderate,7,6,3,7,3,truth_source_labeled_persona_264.json
264,TS47,1,ai,True,true,1.0,6.0,5.0,,5,4,6,5,3,21,nonbinary,German,undergraduate,1,7,4,2,intuitive,moderate,7,6,3,7,3,truth_source_labeled_persona_264.json
264,TS56,1,ai,True,true,1.0,7.0,7.0,,5,4,6,5,3,21,nonbinary,German,undergraduate,1,7,4,2,intuitive,moderate,7,6,3,7,3,truth_source_labeled_persona_264.json
264,TS45,1,ai,True,true,1.0,6.0,5.0,,5,4,6,5,3,21,nonbinary,German,undergraduate,1,7,4,2,intuitive,moderate,7,6,3,7,3,truth_source_labeled_persona_264.json
264,TS2,1,human,True,true,1.0,4.0,6.0,,5,4,6,5,3,21,nonbinary,German,undergraduate,1,7,4,2,intuitive,moderate,7,6,3,7,3,truth_source_labeled_persona_264.json
265,TS70,1,ai,False,false,1.0,4.0,2.0,,3,2,4,5,3,18,nonbinary,US,some_college,6,3,3,4,mixed,moderate,3,3,2,1,3,truth_source_labeled_persona_265.json
265,TS56,1,ai,True,true,1.0,4.0,3.0,,3,2,4,5,3,18,nonbinary,US,some_college,6,3,3,4,mixed,moderate,3,3,2,1,3,truth_source_labeled_persona_265.json
265,TS45,1,ai,True,true,1.0,5.0,4.0,,3,2,4,5,3,18,nonbinary,US,some_college,6,3,3,4,mixed,moderate,3,3,2,1,3,truth_source_labeled_persona_265.json
265,TS69,1,ai,False,false,1.0,6.0,2.0,,3,2,4,5,3,18,nonbinary,US,some_college,6,3,3,4,mixed,moderate,3,3,2,1,3,truth_source_labeled_persona_265.json
265,TS17,1,human,True,true,1.0,5.0,6.0,,3,2,4,5,3,18,nonbinary,US,some_college,6,3,3,4,mixed,moderate,3,3,2,1,3,truth_source_labeled_persona_265.json
266,TS47,1,ai,True,true,1.0,4.0,3.0,,3,1,6,4,2,18,nonbinary,British,high_school_or_equivalent,3,1,7,1,analytical,high,4,4,4,2,5,truth_source_labeled_persona_266.json
266,TS69,1,ai,False,false,1.0,5.0,2.0,,3,1,6,4,2,18,nonbinary,British,high_school_or_equivalent,3,1,7,1,analytical,high,4,4,4,2,5,truth_source_labeled_persona_266.json
266,TS45,1,ai,True,true,1.0,6.0,5.0,,3,1,6,4,2,18,nonbinary,British,high_school_or_equivalent,3,1,7,1,analytical,high,4,4,4,2,5,truth_source_labeled_persona_266.json
266,TS2,1,human,True,true,1.0,5.0,6.0,,3,1,6,4,2,18,nonbinary,British,high_school_or_equivalent,3,1,7,1,analytical,high,4,4,4,2,5,truth_source_labeled_persona_266.json
266,TS56,1,ai,True,true,1.0,6.0,5.0,,3,1,6,4,2,18,nonbinary,British,high_school_or_equivalent,3,1,7,1,analytical,high,4,4,4,2,5,truth_source_labeled_persona_266.json
267,TS69,1,ai,False,false,1.0,6.0,2.0,,4,3,5,2,4,24,nonbinary,US,undergraduate,2,4,6,6,analytical,low,4,2,1,5,1,truth_source_labeled_persona_267.json
267,TS65,1,ai,False,false,1.0,3.0,2.0,,4,3,5,2,4,24,nonbinary,US,undergraduate,2,4,6,6,analytical,low,4,2,1,5,1,truth_source_labeled_persona_267.json
267,TS45,1,ai,True,true,1.0,6.0,5.0,,4,3,5,2,4,24,nonbinary,US,undergraduate,2,4,6,6,analytical,low,4,2,1,5,1,truth_source_labeled_persona_267.json
267,TS76,1,ai,False,false,1.0,6.0,2.0,,4,3,5,2,4,24,nonbinary,US,undergraduate,2,4,6,6,analytical,low,4,2,1,5,1,truth_source_labeled_persona_267.json
267,TS47,1,ai,True,true,1.0,6.0,5.0,,4,3,5,2,4,24,nonbinary,US,undergraduate,2,4,6,6,analytical,low,4,2,1,5,1,truth_source_labeled_persona_267.json
268,TS76,1,ai,False,false,1.0,6.0,2.0,,4,3,5,2,4,21,man,US,vocational_training,4,3,3,7,analytical,moderate,6,4,4,7,7,truth_source_labeled_persona_268.json
268,TS69,1,ai,False,false,1.0,6.0,2.0,,4,3,5,2,4,21,man,US,vocational_training,4,3,3,7,analytical,moderate,6,4,4,7,7,truth_source_labeled_persona_268.json
268,TS45,1,ai,True,true,1.0,6.0,5.0,,4,3,5,2,4,21,man,US,vocational_training,4,3,3,7,analytical,moderate,6,4,4,7,7,truth_source_labeled_persona_268.json
268,TS65,1,ai,False,false,1.0,6.0,2.0,,4,3,5,2,4,21,man,US,vocational_training,4,3,3,7,analytical,moderate,6,4,4,7,7,truth_source_labeled_persona_268.json
268,TS47,1,ai,True,true,1.0,6.0,5.0,,4,3,5,2,4,21,man,US,vocational_training,4,3,3,7,analytical,moderate,6,4,4,7,7,truth_source_labeled_persona_268.json
269,TS69,1,ai,False,false,1.0,4.0,2.0,,6,5,4,3,2,24,man,Australian,high_school_or_equivalent,6,5,7,1,analytical,moderate,6,3,3,7,5,truth_source_labeled_persona_269.json
269,TS72,1,ai,False,false,1.0,6.0,5.0,,6,5,4,3,2,24,man,Australian,high_school_or_equivalent,6,5,7,1,analytical,moderate,6,3,3,7,5,truth_source_labeled_persona_269.json
269,TS65,1,ai,False,false,1.0,6.0,2.0,,6,5,4,3,2,24,man,Australian,high_school_or_equivalent,6,5,7,1,analytical,moderate,6,3,3,7,5,truth_source_labeled_persona_269.json
269,TS45,1,ai,True,true,1.0,4.0,5.0,,6,5,4,3,2,24,man,Australian,high_school_or_equivalent,6,5,7,1,analytical,moderate,6,3,3,7,5,truth_source_labeled_persona_269.json
269,TS76,1,ai,False,false,1.0,7.0,2.0,,6,5,4,3,2,24,man,Australian,high_school_or_equivalent,6,5,7,1,analytical,moderate,6,3,3,7,5,truth_source_labeled_persona_269.json
270,TS17,1,human,True,true,1.0,5.0,6.0,,3,2,5,4,3,22,woman,US,some_college,3,3,4,1,intuitive,moderate,3,5,4,3,4,truth_source_labeled_persona_270.json
270,TS47,1,ai,True,true,1.0,3.0,2.0,,3,2,5,4,3,22,woman,US,some_college,3,3,4,1,intuitive,moderate,3,5,4,3,4,truth_source_labeled_persona_270.json
270,TS76,1,ai,False,false,1.0,6.0,2.0,,3,2,5,4,3,22,woman,US,some_college,3,3,4,1,intuitive,moderate,3,5,4,3,4,truth_source_labeled_persona_270.json
270,TS18,1,human,True,true,1.0,4.0,5.0,,3,2,5,4,3,22,woman,US,some_college,3,3,4,1,intuitive,moderate,3,5,4,3,4,truth_source_labeled_persona_270.json
270,TS45,1,ai,True,true,1.0,6.0,3.0,,3,2,5,4,3,22,woman,US,some_college,3,3,4,1,intuitive,moderate,3,5,4,3,4,truth_source_labeled_persona_270.json
271,TS72,1,ai,False,false,1.0,5.0,2.0,,5,4,6,3,5,25,woman,US,vocational_training,5,4,1,2,mixed,high,4,4,5,2,1,truth_source_labeled_persona_271.json
271,TS17,1,human,True,true,1.0,5.0,6.0,,5,4,6,3,5,25,woman,US,vocational_training,5,4,1,2,mixed,high,4,4,5,2,1,truth_source_labeled_persona_271.json
271,TS45,1,ai,True,true,1.0,6.0,5.0,,5,4,6,3,5,25,woman,US,vocational_training,5,4,1,2,mixed,high,4,4,5,2,1,truth_source_labeled_persona_271.json
271,TS69,1,ai,False,false,1.0,6.0,4.0,,5,4,6,3,5,25,woman,US,vocational_training,5,4,1,2,mixed,high,4,4,5,2,1,truth_source_labeled_persona_271.json
271,TS76,1,ai,False,false,1.0,6.0,3.0,,5,4,6,3,5,25,woman,US,vocational_training,5,4,1,2,mixed,high,4,4,5,2,1,truth_source_labeled_persona_271.json
272,TS72,1,ai,False,false,1.0,6.0,2.0,,2,1,4,3,5,22,nonbinary,US,bachelors_degree,2,1,3,3,mixed,low,5,1,7,4,4,truth_source_labeled_persona_272.json
272,TS76,1,ai,False,false,1.0,7.0,1.0,,2,1,4,3,5,22,nonbinary,US,bachelors_degree,2,1,3,3,mixed,low,5,1,7,4,4,truth_source_labeled_persona_272.json
272,TS63,1,ai,False,false,1.0,6.0,2.0,,2,1,4,3,5,22,nonbinary,US,bachelors_degree,2,1,3,3,mixed,low,5,1,7,4,4,truth_source_labeled_persona_272.json
272,TS17,1,human,True,true,1.0,6.0,5.0,,2,1,4,3,5,22,nonbinary,US,bachelors_degree,2,1,3,3,mixed,low,5,1,7,4,4,truth_source_labeled_persona_272.json
272,TS69,1,ai,False,false,1.0,7.0,1.0,,2,1,4,3,5,22,nonbinary,US,bachelors_degree,2,1,3,3,mixed,low,5,1,7,4,4,truth_source_labeled_persona_272.json
273,TS69,1,ai,False,false,1.0,5.0,2.0,,2,4,5,3,6,25,prefer_not_to_say,British,graduate_student,2,4,4,5,intuitive,moderate,5,6,2,1,1,truth_source_labeled_persona_273.json
273,TS45,1,ai,True,true,1.0,6.0,5.0,,2,4,5,3,6,25,prefer_not_to_say,British,graduate_student,2,4,4,5,intuitive,moderate,5,6,2,1,1,truth_source_labeled_persona_273.json
273,TS25,1,human,False,false,1.0,6.0,5.0,,2,4,5,3,6,25,prefer_not_to_say,British,graduate_student,2,4,4,5,intuitive,moderate,5,6,2,1,1,truth_source_labeled_persona_273.json
273,TS70,1,ai,False,false,1.0,6.0,2.0,,2,4,5,3,6,25,prefer_not_to_say,British,graduate_student,2,4,4,5,intuitive,moderate,5,6,2,1,1,truth_source_labeled_persona_273.json
273,TS17,1,human,True,true,1.0,5.0,6.0,,2,4,5,3,6,25,prefer_not_to_say,British,graduate_student,2,4,4,5,intuitive,moderate,5,6,2,1,1,truth_source_labeled_persona_273.json
274,TS76,1,ai,False,false,1.0,4.0,2.0,,6,4,5,5,3,19,prefer_not_to_say,Dutch,vocational_training,6,4,3,3,analytical,moderate,3,7,5,7,5,truth_source_labeled_persona_274.json
274,TS69,1,ai,False,false,1.0,6.0,2.0,,6,4,5,5,3,19,prefer_not_to_say,Dutch,vocational_training,6,4,3,3,analytical,moderate,3,7,5,7,5,truth_source_labeled_persona_274.json
274,TS45,1,ai,True,true,1.0,5.0,4.0,,6,4,5,5,3,19,prefer_not_to_say,Dutch,vocational_training,6,4,3,3,analytical,moderate,3,7,5,7,5,truth_source_labeled_persona_274.json
274,TS72,1,ai,False,false,1.0,6.0,3.0,,6,4,5,5,3,19,prefer_not_to_say,Dutch,vocational_training,6,4,3,3,analytical,moderate,3,7,5,7,5,truth_source_labeled_persona_274.json
274,TS17,1,human,True,true,1.0,6.0,5.0,,6,4,5,5,3,19,prefer_not_to_say,Dutch,vocational_training,6,4,3,3,analytical,moderate,3,7,5,7,5,truth_source_labeled_persona_274.json
275,TS17,1,human,True,true,1.0,5.0,6.0,,4,4,3,5,2,18,nonbinary,US,bachelors_degree,4,4,1,3,analytical,moderate,7,6,4,7,1,truth_source_labeled_persona_275.json
275,TS76,1,ai,False,false,1.0,7.0,2.0,,4,4,3,5,2,18,nonbinary,US,bachelors_degree,4,4,1,3,analytical,moderate,7,6,4,7,1,truth_source_labeled_persona_275.json
275,TS18,1,human,True,true,1.0,5.0,4.0,,4,4,3,5,2,18,nonbinary,US,bachelors_degree,4,4,1,3,analytical,moderate,7,6,4,7,1,truth_source_labeled_persona_275.json
275,TS45,1,ai,True,true,1.0,6.0,5.0,,4,4,3,5,2,18,nonbinary,US,bachelors_degree,4,4,1,3,analytical,moderate,7,6,4,7,1,truth_source_labeled_persona_275.json
275,TS70,1,ai,False,false,1.0,6.0,2.0,,4,4,3,5,2,18,nonbinary,US,bachelors_degree,4,4,1,3,analytical,moderate,7,6,4,7,1,truth_source_labeled_persona_275.json
276,TS62,1,ai,False,false,1.0,6.0,2.0,,5,4,6,3,5,23,prefer_not_to_say,German,bachelors_degree,5,4,2,3,analytical,high,3,4,4,7,4,truth_source_labeled_persona_276.json
276,TS72,1,ai,False,false,1.0,6.0,2.0,,5,4,6,3,5,23,prefer_not_to_say,German,bachelors_degree,5,4,2,3,analytical,high,3,4,4,7,4,truth_source_labeled_persona_276.json
276,TS18,1,human,True,true,1.0,4.0,5.0,,5,4,6,3,5,23,prefer_not_to_say,German,bachelors_degree,5,4,2,3,analytical,high,3,4,4,7,4,truth_source_labeled_persona_276.json
276,TS17,1,human,True,true,1.0,6.0,6.0,,5,4,6,3,5,23,prefer_not_to_say,German,bachelors_degree,5,4,2,3,analytical,high,3,4,4,7,4,truth_source_labeled_persona_276.json
276,TS76,1,ai,False,false,1.0,6.0,2.0,,5,4,6,3,5,23,prefer_not_to_say,German,bachelors_degree,5,4,2,3,analytical,high,3,4,4,7,4,truth_source_labeled_persona_276.json
277,TS45,1,ai,True,true,1.0,6.0,4.0,,4,6,5,3,5,25,prefer_not_to_say,US,undergraduate,4,6,3,7,mixed,moderate,1,4,3,3,4,truth_source_labeled_persona_277.json
277,TS65,1,ai,False,false,1.0,6.0,2.0,,4,6,5,3,5,25,prefer_not_to_say,US,undergraduate,4,6,3,7,mixed,moderate,1,4,3,3,4,truth_source_labeled_persona_277.json
277,TS72,1,ai,False,false,1.0,6.0,2.0,,4,6,5,3,5,25,prefer_not_to_say,US,undergraduate,4,6,3,7,mixed,moderate,1,4,3,3,4,truth_source_labeled_persona_277.json
277,TS76,1,ai,False,false,1.0,6.0,2.0,,4,6,5,3,5,25,prefer_not_to_say,US,undergraduate,4,6,3,7,mixed,moderate,1,4,3,3,4,truth_source_labeled_persona_277.json
277,TS18,1,human,True,true,1.0,5.0,5.0,,4,6,5,3,5,25,prefer_not_to_say,US,undergraduate,4,6,3,7,mixed,moderate,1,4,3,3,4,truth_source_labeled_persona_277.json
278,TS76,1,ai,False,false,1.0,6.0,2.0,,4,1,5,2,3,23,man,US,bachelors_degree,4,1,5,5,mixed,high,2,6,2,6,6,truth_source_labeled_persona_278.json
278,TS72,1,ai,False,false,1.0,6.0,4.0,,4,1,5,2,3,23,man,US,bachelors_degree,4,1,5,5,mixed,high,2,6,2,6,6,truth_source_labeled_persona_278.json
278,TS18,1,human,True,true,1.0,6.0,5.0,,4,1,5,2,3,23,man,US,bachelors_degree,4,1,5,5,mixed,high,2,6,2,6,6,truth_source_labeled_persona_278.json
278,TS62,1,ai,False,false,1.0,6.0,2.0,,4,1,5,2,3,23,man,US,bachelors_degree,4,1,5,5,mixed,high,2,6,2,6,6,truth_source_labeled_persona_278.json
278,TS17,1,human,True,true,1.0,6.0,5.0,,4,1,5,2,3,23,man,US,bachelors_degree,4,1,5,5,mixed,high,2,6,2,6,6,truth_source_labeled_persona_278.json
